model,train_variant,test_set,seed,tag,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_not_hate,f1_hate
banglabert-adapt1000,augmented,bidwesh_barishal,44,full,1439,0.911049339819319,0.9116508139040328,0.9114614935709897,0.9110472349073151,0.9110391159610145,0.9106145251396648,0.9114799446749654
banglabert-adapt1000,augmented,bidwesh_chittagong,42,full,1494,0.8634538152610441,0.8634462365591398,0.8634566582554338,0.8634498999091387,0.8634547940990206,0.8641810918774967,0.8627187079407806
banglabert-adapt1000,augmented,bidwesh_chittagong,43,full,1494,0.8621151271753681,0.862193967557334,0.8620641452084647,0.8620904125941686,0.8621027698847683,0.8639365918097754,0.8602442333785617
banglabert-adapt1000,augmented,bidwesh_chittagong,44,full,1494,0.8601070950468541,0.8602006623003373,0.8600515426965647,0.8600794499001835,0.8600926142557409,0.862046204620462,0.858112695179905
banglabert-adapt1000,augmented,bidwesh_heldout,42,full,4408,0.8913339382940109,0.8918742678279075,0.8915291987123266,0.891321582921369,0.8913100161895339,0.890162806695712,0.8924803591470258
banglabert-adapt1000,augmented,bidwesh_heldout,43,full,4408,0.8861161524500908,0.8868069366525836,0.8863358047506223,0.8860964323033289,0.8860814721919923,0.8845977011494253,0.8875951634572324
banglabert-adapt1000,augmented,bidwesh_heldout,44,full,4408,0.8897459165154264,0.8901245859494735,0.8899115774494084,0.8897393566461553,0.8897308674035692,0.8888888888888888,0.8905898244034219
banglabert-adapt1000,augmented,bidwesh_noakhali,42,full,1475,0.8983050847457628,0.900344690000665,0.8984765413849023,0.8982017248423679,0.8981863308142028,0.8949579831932774,0.9014454664914586
banglabert-adapt1000,augmented,bidwesh_noakhali,43,full,1475,0.8922033898305085,0.8957356076759062,0.8924294072006678,0.8920000607866623,0.8919778216724916,0.88731396172927,0.8966861598440545
banglabert-adapt1000,augmented,bidwesh_noakhali,44,full,1475,0.8989830508474577,0.9011046569632741,0.899157740294984,0.8988759598789133,0.8988603424460007,0.8955851436580238,0.902166776099803
banglabert-adapt1000,augmented,clean,42,full,5028,0.9250198886237072,0.9250277087969596,0.9256744850562356,0.9249919721423943,0.9250483807025729,0.926439024390244,0.9235449198945447
banglabert-adapt1000,augmented,clean,43,full,5028,0.9272076372315036,0.9272919272112322,0.9279354456760951,0.9271853326707036,0.9272350110106671,0.9284597341673182,0.9259109311740891
banglabert-adapt1000,augmented,clean,44,full,5028,0.9260143198090692,0.9259702286018076,0.9266160765899618,0.9259826526096115,0.9260423331008971,0.9275136399064692,0.9244516653127539
banglabert-adapt250,augmented,augmented,42,full,5028,0.9071201272871917,0.9076548859214331,0.9081201890409014,0.9071113053394277,0.9071465931304836,0.9080165452038605,0.9062060654749949
banglabert-adapt250,augmented,augmented,43,full,5028,0.9180588703261734,0.9178654512652519,0.9184155781264262,0.9180006292248833,0.9180858177013972,0.9201859744285161,0.9158152840212506
banglabert-adapt250,augmented,augmented,44,full,5028,0.9053301511535402,0.9060266004031285,0.9064129007231017,0.9053247434466247,0.9053526358296622,0.9060402684563759,0.9046092184368737
banglabert-adapt250,augmented,bidwesh_barishal,42,full,1439,0.9075747046560111,0.9086463110233935,0.9081030264851265,0.9075632768484374,0.9075439924231568,0.9065354884047786,0.9085910652920962
banglabert-adapt250,augmented,bidwesh_barishal,43,full,1439,0.9082696316886727,0.9091702161407256,0.9087590676678943,0.9082621445875303,0.9082465944543883,0.9074333800841514,0.9090909090909091
