pred_class,p_orig,comprehensiveness,sufficiency,deletion_auc,n_words,k
1,0.9806227161072609,0.2093813876317786,0.035958165369791684,0.6791182597459281,11,2
1,0.9999946967329842,0.0005195300290267157,0.0002656544176480313,0.8887363401107075,6,1
1,0.8816022808700308,0.7650378276498528,-0.11321690650082838,0.282026206677874,9,2
0,0.5318931015723984,0.3415104716149183,-0.4419016809456028,0.2685224758682602,11,2
1,0.634971300502643,0.2500080792363239,0.35937063131114816,0.4445349214980421,7,1
1,0.9826592255571233,0.9662568711066594,-0.017331200134263258,0.41066851446148667,7,1
1,0.9115734255200566,0.8764087771135578,-0.0884265340775523,0.2261561162942935,9,2
1,0.6453753978443043,0.6048613164267511,-0.3339661063084718,0.16218637814798742,16,3
1,0.5032284668012088,0.42416257181848604,-0.3228526948717787,0.12022243339349098,68,14
0,0.6422763159866589,0.4698169966815209,-0.3508715444225946,0.2721733296064224,9,2
1,0.657082912183101,0.6357839136803485,-0.341494750100246,0.05747245986725236,26,5
1,0.8802293194996242,0.5538728229645429,0.06947625469811025,0.5129184287728534,7,1
1,0.9991645042970819,0.5556323775182224,-0.0008312740960383369,0.5228541863159314,16,3
1,0.9982743486506542,0.09492162635921386,-0.0017124292486302428,0.8318008305394451,7,1
1,0.9956916623976529,0.5489718413691771,-0.004235176568704979,0.5728596026416428,12,2
1,0.8579990925117389,0.8328753647227624,-0.14199347106974647,0.1898468633235317,13,3
1,0.9547396185873109,0.10909937080386634,-0.018759374383465865,0.727392830832785,11,2
1,0.5673457822151461,0.4894715016230316,-0.4099166513723981,0.18130790123104729,9,2
1,0.972622034789725,0.9069291156293158,-0.026206078575012115,0.4287126167289793,5,1
1,0.9094323322702175,0.871024709760031,-0.09032710125614307,0.24458611033557737,15,3
1,0.8927188812399737,0.757197612508135,-0.06940558067020763,0.30541160224943525,16,3
1,0.7918808074426882,0.7452825234835879,-0.20747899988097696,0.17859861241613847,14,3
1,0.984151609374627,0.9551008515446701,-0.015844938318870128,0.2426053126586911,9,2
1,0.6411075835265548,0.6179125960333293,-0.3468723849562121,0.07662193401586229,32,6
1,0.9948483560695438,0.5128297552394199,-0.005028647641289186,0.5389126035275218,9,2
1,0.9858979109963817,0.8910027864329624,-0.014101526094970396,0.3213308969931561,11,2
